model_family,temperature_C,MEA_weight_fraction,CO2_loading,observed_CO2_pressure_kPa,predicted_CO2_pressure_kPa,log10_pred_over_obs
legacy_pcsaft_smith_missen,40,0.3,0.203,0.00896,0.003637062110254,-0.3915572920799738
legacy_pcsaft_smith_missen,40,0.3,0.365,0.0677,0.0579631618815917,-0.067436600542435
legacy_pcsaft_smith_missen,40,0.3,0.4735,0.604,1.336391010976281,0.3448966071413341
legacy_pcsaft_smith_missen,40,0.3,0.513,2.57,9.208294697257688,0.5542460864373605
legacy_pcsaft_smith_missen,40,0.3,0.557,8.09,50.43368393331962,0.7947721707879503
legacy_pcsaft_smith_missen,60,0.3,0.119,0.0193,0.0054220922701026,-0.5513904051223149
legacy_pcsaft_smith_missen,60,0.3,0.206,0.0579,0.0286179354174621,-0.3060402644625141
legacy_pcsaft_smith_missen,60,0.3,0.389,0.528,0.6636141387914272,0.0992817078831344
legacy_pcsaft_smith_missen,60,0.3,0.438,2.01,2.114861897741896,0.0220859554220775
legacy_pcsaft_smith_missen,60,0.3,0.504,11.0,18.65561020998608,0.2294167738737053
legacy_pcsaft_smith_missen,60,0.3,0.561,34.0,113.6129986615994,0.5239491055655895
legacy_pcsaft_smith_missen,60,0.3,0.579,82.0,177.1339947513174,0.3344880646286388
legacy_pcsaft_smith_missen,80,0.3,0.118,0.0992,0.0355247818289706,-0.4459802527120277
legacy_pcsaft_smith_missen,80,0.3,0.187,0.278,0.1357604156358799,-0.3112716369966949
legacy_pcsaft_smith_missen,80,0.3,0.348,2.67,1.8468764667297548,-0.160073413900411
legacy_pcsaft_smith_missen,80,0.3,0.46,16.0,18.020605569482942,0.0516493983858938
legacy_pcsaft_smith_missen,80,0.3,0.517,56.0,78.78540007268968,0.1482577176999336
legacy_pcsaft_smith_missen,80,0.3,0.5785,235.0,326.0484027636654,0.1422142147679068
legacy_pcsaft_smith_missen,100,0.3,0.188,1.43,0.8195548834780748,-0.2417579950026516
legacy_pcsaft_smith_missen,100,0.3,0.381,19.0,17.04232424298104,-0.0472247771262304
legacy_pcsaft_smith_missen,100,0.3,0.422,39.0,34.35811150411044,-0.0550353222364355
legacy_pcsaft_smith_missen,100,0.3,0.477,69.0,95.54894768639132,0.1413768176447748
legacy_pcsaft_smith_missen,100,0.3,0.481,109.0,103.039016126373,-0.0244247947894741
legacy_pcsaft_smith_missen,100,0.3,0.571,509.0,560.9962106262815,0.0422421453906077
legacy_pcsaft_smith_missen,100,0.3,0.589,376.0,766.5464708324336,0.309350643570403
legacy_pcsaft_smith_missen,120,0.3,0.119,2.29,1.182609228445089,-0.2869942186634905
legacy_pcsaft_smith_missen,120,0.3,0.349,46.8,45.72716425142424,-0.0100715834263247
legacy_pcsaft_smith_missen,120,0.3,0.4115,122.0,111.51098027358778,-0.0390421970354995
legacy_pcsaft_smith_missen,120,0.3,0.444,222.0,181.0922501294446,-0.0884531094377123
legacy_pcsaft_smith_missen,120,0.3,0.473,422.0,275.3223039574367,-0.1854710557932766
legacy_pcsaft_smith_missen,120,0.3,0.536,822.0,702.2308375427074,-0.0683919205215548
neutral_epcsaft_parity,40,0.3,0.203,0.00896,0.0036370621044533,-0.3915572927726279
neutral_epcsaft_parity,40,0.3,0.365,0.0677,0.0579631619183285,-0.0674366002671806
neutral_epcsaft_parity,40,0.3,0.4735,0.604,1.3363910144239168,0.3448966082617316
neutral_epcsaft_parity,40,0.3,0.513,2.57,9.208294700630468,0.5542460865964323
